State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
PA,0,"6,134,120","3,000,210","2,319,160","709,070","3,249,200","11,410,600","3,444,700","371,107,952","6,117,980","375,882,453","5,021,120","260,627,429","2,227,690","4,159,474","1,443,360","10,378,479","1,312,590","8,288,092","633,120","362,947","776,830","12,377,030","1,022,470","18,740,226","704,690","10,452,260","1,347,800","25,299,875","43,670","673,330","4,564,136","835,830","10,546,282","306,250","17,539,656","1,498,800","5,320,760","158,960","39,666","39,140","787,193","167,140","1,152,850","122,540","518,457","600,630","635,011","76,360","193,195","23,910","451,861","1,865,610","45,537,481","1,643,900","10,331,553","190,890","177,320","1,681,840","7,870,029","1,858,490","18,673,412","1,450,800","11,542,456","1,517,640","6,513,138","4,683,570","262,752,944","4,640,740","49,961,915","163,590","1,049,417","1,836,320","2,318,197","325,630","340,275","228,680","121,757","405,870","496,412","303,650","51,664","886,970","1,119,996","132,690","61,521","625,190","1,744,931","5,777,880","59,908,745","942,080","1,976,028","821,210","1,772,734","600,860","737,807","375,780","365,840","4,245,540","47,643,759","4,495,690","49,658,108","888,320","4,358,872","4,853,790","12,746,717"
PA,1,"74,150","50,150","19,070","2,810","48,930","100,100","18,110","-4,495,407","58,020","-4,966,737","17,600","460,745","26,200","89,725","23,870","109,971","21,700","76,682","1,450","3,949","21,640","-215,136","30,280","200,726","5,470","76,255","8,260","66,000","3,740","1,450","9,658",90,505,"11,480","-1,052,857","16,390","74,923",220,52,130,"1,647","4,500","25,393",420,"1,838","3,060","3,665","3,530","13,091",570,"6,779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,"4,499",200,"4,453",200,271,0,0,0,3,20,29,30,35,60,76,10,7,"8,240","15,354","31,870","140,228","7,020","6,507","4,570","4,413","2,530","3,776","4,920","4,795",200,"4,229","9,610","22,629","5,320","8,251","26,620","99,003"
PA,2,"1,064,950","891,610","80,850","81,350","488,240","935,040","194,100","5,200,361","1,064,950","5,358,961","772,430","3,697,597","237,550","125,256","147,350","163,281","130,210","95,108","5,100","1,581","98,680","405,340","98,290","-31,972","69,020","218,442","147,130","604,646","3,500","62,760","219,958","2,030","8,805","11,190","-12,626","123,680","158,600","1,430",301,270,983,"11,550","41,281","2,060","5,808","22,660","21,157","13,990","44,796",550,"1,783","35,390","547,958","13,600","17,502","16,230","8,587","24,630","94,145","33,700","124,841","15,970","97,260","19,830","22,315","129,140","207,348","117,020","20,451",60,152,"7,260",452,"4,310",147,10,2,"1,630",237,410,13,60,18,30,3,"84,600","58,849","878,810","721,803","272,430","298,611","244,740","268,996","84,240","51,320","40,180","35,713","114,530","20,003","206,560","82,452","63,660","24,116","836,510","660,240"
PA,3,"1,288,880","800,430","215,630","249,370","650,320","2,065,460","625,940","22,056,786","1,288,880","22,435,417","981,080","15,443,358","296,790","275,369","173,680","357,559","152,930","212,759","18,310","5,560","142,760","1,276,461","108,530","45,760","136,660","820,753","274,960","2,697,333","6,400","189,090","1,161,960","108,890","177,323","21,520","55,379","236,870","378,642","7,860","1,718",840,"4,316","21,570","91,825","11,140","32,753","92,360","92,665","8,710","23,354","1,120","3,726","107,080","1,610,189","57,550","77,603","40,310","24,989","80,640","279,150","104,730","412,861","55,420","322,488","71,840","133,253","893,950","5,893,351","876,330","622,392",250,376,"259,050","90,929","14,600",584,"17,760","6,031","70,440","42,324","92,980","14,512","73,980","25,710","5,620","1,183","121,880","182,120","1,206,420","3,394,875","401,880","1,206,437","358,350","1,107,486","286,520","366,226","70,630","62,541","718,880","531,469","809,950","723,915","100,050","87,846","1,133,040","2,748,246"
PA,4,"1,428,370","759,000","387,740","242,780","730,340","2,588,090","777,050","51,810,102","1,428,370","52,528,502","1,226,250","40,505,078","410,510","376,043","238,270","574,383","213,160","366,657","80,000","19,812","145,130","1,506,314","152,680","158,462","147,470","1,315,098","297,810","4,488,380","9,400","184,500","1,399,243","260,950","1,670,219","38,420","247,244","342,030","718,399","25,800","6,019","2,260","15,461","30,370","155,674","31,990","111,650","183,740","201,299","9,360","22,897","2,270","8,603","308,870","4,519,563","251,560","504,505","49,330","41,261","254,910","809,781","307,170","1,402,830","216,640","1,255,303","217,340","465,704","1,388,570","28,481,537","1,379,560","3,532,930",250,"1,627","522,970","454,020","43,870","3,342","53,950","31,008","108,480","118,680","166,340","29,865","272,370","260,223","27,210","8,326","111,250","238,624","1,401,330","6,219,078","260,450","464,465","213,350","391,833","194,820","272,721","76,050","70,960","1,181,970","3,078,912","1,228,110","3,350,568","160,910","220,918","1,239,090","3,045,595"
PA,5,"858,100","304,280","453,180","83,040","479,340","1,851,030","540,290","52,859,041","858,100","53,490,714","748,940","40,514,856","364,750","377,430","221,040","659,642","199,620","442,623","121,730","30,683","112,640","1,311,199","145,770","258,053","115,330","1,435,014","226,030","4,708,156","7,150","109,910","791,132","185,360","2,717,317","39,280","361,763","259,360","631,673","31,190","7,513","3,010","25,656","22,330","133,346","27,710","113,132","128,620","127,455","12,420","27,872","2,350","8,943","358,620","6,012,797","318,930","955,874","35,510","33,862","320,650","1,112,950","357,870","2,142,300","283,350","1,853,519","277,320","672,945","854,380","34,918,461","851,870","4,946,063",920,"1,605","350,060","493,267","49,210","4,214","37,690","19,312","76,220","107,107","43,890","7,239","217,350","338,134","30,730","11,365","84,560","206,243","848,980","6,417,770",300,9,210,6,"28,790","38,078","57,830","58,633","819,990","4,452,822","829,390","4,699,397","153,130","299,651","682,360","1,961,876"
PA,6,"549,840","104,420","410,900","27,960","313,960","1,381,820","421,280","47,543,947","549,840","48,059,247","488,240","36,376,388","288,500","322,087","184,160","640,140","167,850","450,117","122,270","33,822","83,370","1,172,985","123,810","338,466","85,810","1,433,091","159,680","4,137,488","4,810","64,470","482,569","120,690","2,341,783","34,880","422,799","178,470","515,300","31,230","7,941","3,470","34,570","16,410","109,671","20,510","90,211","79,680","92,255","5,050","10,939","2,210","8,567","320,270","6,124,370","295,450","1,201,805","22,820","26,041","298,340","1,176,626","319,960","2,437,228","268,680","1,976,761","264,720","712,869","548,650","33,598,689","547,590","4,940,930","2,240","3,842","259,610","422,820","45,280","5,176","36,510","19,655","65,960","96,916",0,0,"167,220","282,076","24,910","10,223","63,400","180,735","545,740","6,007,712",0,0,0,0,"3,280","4,655","48,820","50,798","543,290","4,518,111","544,730","4,738,636","107,910","279,453","425,020","1,490,777"
PA,7,"665,050","71,130","571,960","17,450","387,000","1,873,560","636,870","88,558,821","665,050","89,647,017","603,390","68,124,747","429,810","611,642","304,610","1,513,198","282,530","1,123,546","220,320","87,018","119,770","2,818,737","224,970","1,201,487","107,920","2,739,934","187,540","6,426,171","5,870","54,040","433,540","123,690","2,760,984","74,990","1,786,544","258,910","1,088,195","54,060","14,341","12,000","180,538","30,660","250,385","24,260","123,210","90,500","96,515","23,300","50,246","5,440","28,460","537,160","14,172,553","512,610","3,226,444","22,960","32,889","513,120","2,588,601","536,920","5,910,441","458,810","3,974,668","479,610","1,639,350","664,310","67,021,515","663,550","11,733,067","20,560","43,817","337,290","448,680","92,580","21,945","65,000","36,086","83,130","131,118",0,0,"155,860","213,687","35,320","17,788","96,150","387,147","661,260","12,985,064",0,0,0,0,690,"1,032","77,350","82,401","662,220","11,284,387","662,810","11,753,800","197,500","854,886","437,470","1,900,200"
PA,8,"164,580","15,330","144,720","3,510","116,060","492,700","183,500","47,007,345","164,580","47,868,461","148,370","32,602,190","135,380","437,528","115,360","1,439,422","110,460","1,137,260","49,990","52,950","41,250","2,479,342","103,360","1,919,717","29,210","1,356,541","38,520","1,683,648","2,110","6,450","58,635","27,210","677,268","49,700","3,887,544","61,300","861,116","6,650","1,653","11,860","297,971","19,980","215,861","3,530","31,249",0,0,0,0,"5,080","57,318","158,490","6,453,743","154,970","2,047,795","3,320","7,416","151,350","1,217,091","158,450","3,306,168","125,220","1,568,775","148,750","985,712","164,430","38,623,781","164,420","9,483,350","117,670","638,998","73,430","89,085","52,770","51,224","15,790","8,471",0,0,0,0,80,72,"7,570","7,172","40,430","277,511","163,470","9,447,999",0,0,0,0,0,0,0,0,"164,320","9,394,266","164,390","9,706,787","79,900","1,024,172","64,330","475,188"
PA,9,"26,920","2,490","23,660",540,"22,940","83,010","32,490","18,112,399","26,920","18,483,041","23,540","10,300,108","25,230","228,327","22,850","798,021","22,210","650,595","7,740","26,340","7,760","837,791","22,530","1,571,878","4,970","402,686","5,150","253,312",460,510,"4,703","4,370","116,803","15,150","3,370,116","13,830","370,643",420,101,"3,560","140,798","5,990","77,284",610,"5,711",0,0,0,0,"2,130","54,320","26,570","2,092,844","26,230","784,187",300,"1,008","25,530","324,124","26,560","1,133,443","18,860","332,421","25,490","416,340","26,890","15,689,231","26,910","4,530,817","18,400","206,606","16,700","62,358","14,240","46,111","1,600",938,0,0,0,0,0,0,910,"2,239","9,530","97,972","26,770","4,398,962",0,0,0,0,0,0,0,0,"26,890","4,468,459","26,900","4,572,594","13,950","517,718","6,610","134,871"
